directors,averageRating,meanofRatingNum,sumofRatingNum,primaryName,famous1_name,famous2_name,famous3_name
nm0226323,5.2,765,6891,Nicolas Winding Refn,Drive,Valhalla Rising,Only God Forgives
nm0226328,9.1,58,58,Albert Brooks,Drive,Broadcast News,Defending Your Life
nm0226386,5.0,103,206,Gregg Araki,White Bird in a Blizzard,Kaboom,Mysterious Skin
nm0226398,6.3,36,366,Brady Corbet,The Childhood of a Leader,Martha Marcy May Marlene,Mysterious Skin
nm0226586,4.8,502,7028,Lisa Cholodenko,The Kids Are All Right,Laurel Canyon,Cavedweller
nm0226691,7.0,8,16,Juan Reina,Iseta: Behind the Roadblock,6954 Kilometres to Home,Diving Into the Unknown
nm0226694,6.2,15,30,Elia Suleiman,The Time that Remains,Divine Intervention,Chronicle of a Disappearance
nm0226696,5.6,139,417,Robert Connolly,Underground: The Julian Assange Story,Balibo,Paper Planes
nm0226891,4.5,39,39,Jefferson Moore,Clancy,Pieces of Easter,The Perfect Stranger
nm0227062,5.7,9,9,Ali F. Mostafa,City of Life,From A to B,The Worthy
nm0227460,6.4,278,18651,Urszula Antoniak,Nude Area,Code Blue,Nothing Personal
nm0227540,6.6,96874,8718691,James F. Collier,Caught,For Pete's Sake,China Cry: A True Story
nm0227544,7.3,33,738,Franny Armstrong,Drowned Out,McLibel,The Age of Stupid
nm0227578,5.3,11,59,Julia Solomonoff,The Last Summer of La Boyita,Hermanas,Nobody's Watching
nm0227622,6.3,15,30,Jan Kidawa-Blonski,Stars,Skazany na bluesa,In Hiding
nm0227625,6.4,8133,487987,José Luis Guerín,In the City of Sylvia,Train of Shadows,En construcción
nm0227661,5.4,115,16069,S. Shankar,Anniyan,Kadhalan,Gentleman
nm0227747,6.2,22,22,Prakash Jha,Death Sentence,Gangaajal,Raajneeti
nm0227762,5.7,62,3887,Andreas Öhman,Eternal Summer,Bitch Hug,Simple Simon
nm0227870,5.8,6,6,Errol Morris,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,The Thin Blue Line,Standard Operating Procedure
nm0227992,6.7,542,3794,Frederick Wiseman,Titicut Follies,"Belfast, Maine",At Berkeley
nm0228011,8.4,1013,2026,Robert Morin,Windigo,3 histoires d'Indiens,The 4 Soldiers
nm0228013,7.2,915,14649,Timothy J. Nelson,The Penny Promise,No More Baths,The Assignment
nm0228147,4.8,28429,1023444,William Monahan,The Departed,London Boulevard,Body of Lies
nm0228400,5.7,805,11272,Jimmy Wang Yu,Dragon,Soul,Master of the Flying Guillotine
nm0228420,7.7,13,13,Shûichi Okita,Go See the Fall,The Woodsman and the Rain,A Story of Yonosuke
nm0228479,4.5,98,490,Alex Kendrick,Fireproof,Courageous,Flywheel
nm0228542,6.3,47365,4310226,Sally Rowe,A Matter of Taste: Serving Up Paul Liebrandt,Old Dog,Safe
nm0228568,2.9,7,21,John Hay,The Truth About Love,Lost Christmas,There's Only One Jimmy Grimble
nm0228998,8.8,12,12,Margarethe von Trotta,Rosenstrasse,Hannah Arendt,Marianne & Juliane
nm0229026,6.2,1376,28898,Plan B,Harry Brown,The Sweeney,Ill Manors
nm0229028,7.6,38,152,Antti Jokinen,The Midwife,The Resident,Flowers of Evil
nm0229083,5.6,408,13072,Pete Travis,Vantage Point,Dredd,The Gunman
nm0229119,8.0,88,177,Pierre Morel,Taken,Peppermint,The Gunman
nm0229153,7.8,53,53,Judith Kaufmann,Two Lives,Inbetween Worlds,When We Leave
