directors,averageRating,meanofRatingNum,sumofRatingNum,primaryName,famous1_name,famous2_name,famous3_name
nm0000005,7.5,22110,17666523,Steven Kovacs,The Lady in Red,Deathsport,'68
nm0000008,7.2,8498,195454,Ferd Sebastian,American Angels: Baptism of Blood,On the Air Live with Captain Midnight,The Hitchhikers
nm0000009,5.7,845,15210,Beverly Sebastian,The Hitchhikers,Flash and the Firecat,'Gator Bait
nm0000010,5.8,204,2244,Chris Hegedus,Unlocking the Cage,Only the Strong Survive,The War Room
nm0000018,6.1,1063,29784,D.A. Pennebaker,Startup.com,The War Room,Bob Dylan: Dont Look Back
nm0000019,7.5,22002,10231298,Robert G. Vignola,The Young Diana,Yolanda,Broken Dreams
nm0000024,7.5,375,375,James Cruze,The Great Gabbo,Racetrack,She Got What She Wanted
nm0000032,6.0,888,22206,George B. Seitz,Ransom,The Ice Flood,The Warning
nm0000033,7.3,79437,103586689,Mino Guerrini,Evil Eye,Gli altri racconti di Canterbury,Date for a Murder
nm0000036,7.6,15751,3874989,Ninì Grassia,First Action Hero,Via Lattea... la prima a destra,L'ave Maria (L'artista)
nm0000037,7.1,37366,7547979,Ernest B. Schoedsack,Rango,The Four Feathers,Dr. Cyclops
nm0000040,8.0,345863,131774014,Phil Rosen,Murder by Invitation,Double Alibi,Hold the Press
nm0000041,7.9,49181,30345162,Jack Conway,Red-Headed Woman,The Roughneck,Viva Villa!
nm0000044,6.3,1373,74190,Edgar Neville,La vida en un hilo,The Crime of Bordadores Street,El último caballo
nm0000045,6.8,22199,1198782,Francis Ford Coppola,Apocalypse Now,The Conversation,The Godfather: Part II
nm0000048,7.1,802,6416,Miguel Iglesias,Carta a una mujer,Presage,Barcelona Connection
nm0000056,7.0,2321,213548,Robert F. Hill,Frontier Days,Flying Fists,Shadow of Chinatown
nm0000059,7.2,6481,596254,Richard Thorpe,Galloping On,Between Dangers,Ivanhoe
nm0000063,6.6,2014,32224,Rafael Romero Marchent,Santo Versus Doctor Death,Revenge of the Black Wolf,La boda o la vida
nm0000069,6.5,1454,43620,Jorge Grau,Let Sleeping Corpses Lie,Noche de verano,The Rash One
nm0000076,7.5,16078,8023073,Charles B. Griffith,Little Shop of Horrors,Death Race,The Little Shop of Horrors
nm0000078,6.6,8866,930956,Roger Corman,The Silence of the Lambs,Death Race,Little Shop of Horrors
nm0000080,7.3,46066,18841038,BJ McDonnell,The Darkest Hour,Death Race,Rampage
nm0000086,6.7,3506,49084,Paul W.S. Anderson,Event Horizon,Death Race,Resident Evil: Apocalypse
nm0000091,5.6,12945,1462841,Jacques Jaccard,Liberty,The Red Ace,The Lion's Claws
nm0000092,7.6,121397,4006101,Raoul Walsh,The Thief of Bagdad,Going Hollywood,Sadie Thompson
nm0000095,7.1,67120,68126939,Hans Billian,Im Liebesnest der Hippiemädchen,Zimmermädchen machen es gern,Übermut im Salzkammergut
nm0000102,5.5,2920,26280,Greydon Clark,Angels' Brigade,Final Justice,Black Shampoo
nm0000104,6.1,4746,123414,Robert Gordon,Thunder in the Pines,The Jazz Singer,Black Eagle
nm0000106,6.9,60890,1461360,Bert I. Gordon,King Dinosaur,The Cyclops,Tormented
nm0000108,6.7,175113,68469551,Doro Vlado Hreljanovic,Mako: The Jaws of Death,War of the Planets,The Elm-Chanted Forest
nm0000110,6.6,140428,37915813,Franz Josef Gottlieb,The Black Abbot,Kingdom of the Silver Lion,Mister Dynamit - Morgen küßt euch der Tod
nm0000114,6.7,11023,507094,R.J. Kizer,War for the Planet of the Apes,Planet of the Apes,Inception
nm0000115,5.7,3812,26684,Hans Steinhoff,The Making of a King,"Robert Koch, der Bekämpfer des Todes",Uncle Kruger
nm0000116,7.4,542760,144916952,Juan Piquer Simón,The Rift,Mystery on Monster Island,Slugs
nm0000118,6.9,98679,37498217,Aaron Lipstadt,Android,City Limits,Escape from New York
nm0000122,7.9,72187,28369550,Donald P. Borchers,The Fog,Children of the Corn,Escape from New York
nm0000123,6.6,99627,16538108,George Kaczender,The Girl in Blue,Agency,In Praise of Older Women
nm0000125,7.6,39,39,Wesley Ruggles,Street Girl,London Town,Cimarron
nm0000126,6.7,62569,3065901,Spencer Gordon Bennet,Snowed In,The House Without a Key,The Mysterious Pilot
nm0000127,6.1,61898,25935282,Ilmari Unho,Kuollut mies rakastuu,Kalle-Kustaa Korkin seikkailut,Kartanon naiset
nm0000128,7.1,63625,1781508,Will Zens,Capture That Capsule,To the Shores of Hell,Trucker's Woman
nm0000134,6.7,93829,2627212,James Landis,Rat Fink,The Sadist,Stakeout!
nm0000136,6.3,8160,155042,Wolfgang Becker,Child's Play,Life is All You Get,Good Bye Lenin!
nm0000142,7.1,123441,113072185,Alberto De Martino,"Duck, You Sucker",The Pumaman,The Secret Seven
nm0000146,6.3,15062,647699,Charles B. Pierce,Boggy Creek II: And the Legend Continues,Sudden Impact,The Norseman
nm0000147,5.3,15,15,Sondra Locke,The Gauntlet,Sudden Impact,Bronco Billy
nm0000149,6.6,64970,3898200,Steven Ramirez,Driving Miss Daisy,Big Trouble in Little China,Goosebumps
nm0000154,7.7,377336,59241787,Roy Del Ruth,On the Avenue,Red Light,It Happened on Fifth Avenue
nm0000155,8.0,225,900,Fred Niblo,The Enemy,The Artist,The Red Lily
nm0000158,6.1,58214,1571778,Barbara Peeters,Summer School Teachers,Bury Me an Angel,Caged Desires
nm0000160,6.0,2008,40164,Hamilton Luske,Peter Pan,Pinocchio,Cinderella
nm0000162,4.9,104,104,Wilfred Jackson,Cinderella,Alice in Wonderland,Snow White and the Seven Dwarfs
nm0000163,7.1,13166,631972,Steven Paul,Ghost Rider,Ghost in the Shell,Doomsday
nm0000164,5.1,4441,48851,Neil Marshall,Dog Soldiers,Centurion,Doomsday
nm0000169,7.1,33349,1300635,Peter Jackson,King Kong,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Fellowship of the Ring
nm0000174,7.8,16,16,Ian Mune,Came a Hot Friday,The End of the Golden Weather,The Lord of the Rings: The Fellowship of the Ring
nm0000175,5.4,27199,516781,Joe D'Amato,2020 Texas Gladiators,"Ator, the Fighting Eagle",Emanuelle's Revenge
nm0000180,7.6,50129,21054274,Philippe Blot,Born Wild,Hot Blood,The Arrogant
nm0000184,7.4,614866,128507047,William James Craft,The Galloping Cowboy,The Silent Flyer,The Radio Detective
nm0000185,5.2,2652,233403,W.S. Van Dyke,The Thin Man,Wyoming,Marie Antoinette
nm0000187,6.0,7269,196263,Edward D. Wood Jr.,Glen or Glenda,Jail Bait,Plan 9 from Outer Space
nm0000191,6.1,12577,276694,Paul Leder,Goin' to Chicago,The Eleventh Commandment,My Friends Need Killing
nm0000196,7.4,3006,9018,Edmond Keosayan,The Canyon of Deserted Tales,Tghamardik,Novye priklyucheniya neulovimykh
nm0000197,5.7,4832,285133,Abbas Rafei,Butterfly in the Wind,The Meeting,Oblivion Season
nm0000198,7.4,7883,78830,Darren Doane,Black Friday,42K,Godmoney
nm0000199,7.0,2169,23860,Lee Daniels,The Woodsman,Precious,Lee Daniels' The Butler
nm0000200,7.4,50650,2177983,David Dilley,The Black Dahlia,Suspicion,Warrior
nm0000202,5.5,2492,17444,Gavin O'Connor,Tumbleweeds,The Accountant,Warrior
nm0000204,6.0,2951,41314,Jon M. Chu,Step Up 2: The Streets,G.I. Joe: Retaliation,Justin Bieber: Never Say Never
nm0000206,6.1,32492,389904,Stephen S. Campanelli,Mystic River,"Three Billboards Outside Ebbing, Missouri",The Maze Runner
nm0000209,6.9,8482,127230,Spike Lee,She's Gotta Have It,Malcolm X,Do the Right Thing
nm0000212,5.5,2122,8488,Ezio Greggio,Screw Loose,Giovanna's Father,The Silence of the Hams
nm0000217,7.6,296876,200985578,Wladyslaw Pasikowski,Kroll,Pigs,Jack Strong
nm0000219,4.5,20549,554823,Nicole Holofcener,Friends with Money,Can You Ever Forgive Me?,Enough Said
nm0000228,6.7,13938,167256,Calum Grant,Hereafter,San Andreas,Enough Said
nm0000229,7.4,360252,363494877,Emilio Estevez,The Way,Bobby,The Public
nm0000230,6.6,163753,34060707,Max Kleven,Back to the Future,Spider-Man,Species
nm0000231,6.8,109200,47829858,Doug Lefler,X-Men: Days of Future Past,Spider-Man,The Last Legion
nm0000233,8.0,782768,246571981,Mark Andrews,Brave,Spider-Man,John Carter
nm0000241,7.5,1189,4758,David Koepp,Stir of Echoes,Spider-Man,Mission: Impossible
nm0000243,7.4,58675,2405675,J.C. Calciano,The 10 Year Plan,eCupid,Mission: Impossible
nm0000247,6.6,78631,25555235,George Bamber,Men in Black II,Wild Wild West,The Mostly Unfabulous Social Life of Ethan Green
nm0000248,4.0,12051,939978,Charles S. Dutton,Alien³,Rudy,A Time to Kill
nm0000252,3.2,11,44,Susannah Grant,The 5th Wave,Pocahontas,Ever After: A Cinderella Story
nm0000255,7.7,351841,27443640,Andy Tennant,Fool's Gold,Sweet Home Alabama,Ever After: A Cinderella Story
nm0000264,7.2,44123,15796270,Sinisa Dragin,9:06,Everyday God Kisses Us on the Mouth,The Pharaoh
nm0000265,6.6,16196,8924283,Mat Whitecross,Ashes,A Mighty Heart,The Road to Guantanamo
nm0000269,7.2,61444,15729716,Michael Winterbottom,Everyday,A Mighty Heart,A Summer in Genoa
nm0000272,5.4,146,2347,Martin Campbell,GoldenEye,The Mask of Zorro,Casino Royale
nm0000273,6.5,1495,38878,Stéphane Foenkinos,Delicacy,Midnight in Paris,Casino Royale
nm0000274,4.8,4999,44998,Anne Marie Stein,Never Say Never Again,The Mask of Zorro,The Abyss
nm0000275,6.4,1036,5180,Newt Arnold,Bloodsport,The Godfather: Part II,The Abyss
nm0000277,7.1,38106,7621295,Steve Beck,Thir13en Ghosts,Ghost Ship,The Abyss
nm0000278,6.7,2458,39328,Antonio Banderas,The 13th Warrior,The Mask of Zorro,Once Upon a Time in Mexico
nm0000285,5.5,4563,73008,L.Q. Jones,A Boy and His Dog,The Mask of Zorro,The Edge
nm0000299,3.8,885,8852,Tom Pevsner,GoldenEye,Octopussy,For Your Eyes Only
nm0000306,5.9,76,152,Tom Ford,Nocturnal Animals,A Single Man,Quantum of Solace
nm0000316,7.2,78393,17638456,Daniel Petrie Jr.,Toy Soldiers,The Big Easy,Beverly Hills Cop
nm0000318,7.0,240248,104508097,Hark Tsui,Flying Swords of Dragon Gate,Once Upon a Time in China,Detective Dee: The Mystery of the Phantom Flame
nm0000320,7.5,9853,4660840,Rachid Bouchareb,Days of Glory,London River,Little Senegal
nm0000329,6.9,14123,3643979,Roschdy Zem,Bad Faith,Omar Killed Me,The Cold Light of Day
nm0000332,6.4,8359,91949,Yoshihiro Fukagawa,Into the White Night,Sakurada Reset Part II,Yougashiten koandoru
nm0000338,7.2,303646,142410301,Kevin Reynolds,Robin Hood: Prince of Thieves,Red Dawn,Waterworld
nm0000339,5.6,3958,2699503,Lasse Spang Olsen,Old Men in New Cars: In China They Eat Dogs II,The Collector,The Good Cop
nm0000343,6.8,77507,29220214,Ti West,The Innkeepers,The Sacrament,V/H/S
nm0000352,5.6,424,2973,Anastasia Lapsui,Mothers of Life,Seven Songs from the Tundra,Anna
nm0000361,6.7,101583,47642440,Markku Lehmuskallio,Seven Songs from the Tundra,The Raven's Dance,Mothers of Life
nm0000362,6.2,39719,2740667,Daniele Gaglianone,Our Years,Nemmeno il destino,Rust
nm0000365,6.2,12934,1176996,Baltasar Kormákur,Jar City,The Sea,2 Guns
nm0000367,6.6,342,4788,Aleksey Balabanov,Brother,Kochegar,Cargo 200
nm0000369,6.0,4684,42156,Gulshat Omarova,Mongol: The Rise of Genghis Khan,Native Dancer,A Yakuza's Daughter Never Cries
nm0000380,6.3,7077,276031,Regardt van den Bergh,Uitvlucht,Tornado and the Kalahari Horse Whisperer,Wild Maneuvres
nm0000381,4.7,274,2742,Massy Tadjedin,Last Night,Leo,The Jacket
nm0000382,6.7,21149,4081889,Todd Phillips,The Hangover Part III,Due Date,The Hangover
nm0000386,6.0,180569,51462419,Yossi Wein,Disaster,Cyborg Cop III,Bridge of Dragons
nm0000387,4.9,3655,54837,Paul Wittenberger,The Green Hornet,Race to Witch Mountain,After the Tribulation
nm0000389,6.7,22696,1202897,Chi-kin Kwok,As the Light Goes Out,Journey to the West,Full Strike
nm0000391,6.3,2704,27040,Teddy Robin Kwan,Dong feng po,City on Fire,Once Upon a Rainbow
nm0000398,5.5,3494,27952,Houchang Allahyari,Robert Tarantino,Bock for President,Borderline
nm0000399,7.8,619696,164219699,Tom-Dariusch Allahyari,Geboren in Absurdistan,Bock for President,Fear of Heights
nm0000401,5.3,636,4452,Pablo Larraín,No,The Club,Jackie
nm0000406,6.6,9684,14342762,Mateo Gil,Realive,Agora,Open Your Eyes
nm0000408,5.4,34471,2033806,Alejandro Amenábar,The Sea Inside,The Others,Open Your Eyes
nm0000410,6.6,4757,52327,Steven Soderbergh,"Sex, Lies, and Videotape",Traffic,Erin Brockovich
nm0000412,6.7,8859,159462,Benicio Del Toro,The Usual Suspects,Traffic,Guardians of the Galaxy
nm0000416,7.1,140010,41583103,Peter MacDonald,Tango & Cash,X-Men Origins: Wolverine,Guardians of the Galaxy
nm0000418,6.4,280,1680,Stephen Gaghan,Syriana,Traffic,Abandon
nm0000419,6.9,9820,6118451,James Brolin,Capricorn One,Traffic,Westworld
nm0000420,6.8,277,1108,Simon Moore,The Quick and the Dead,Traffic,Under Suspicion
nm0000421,6.2,882,1764,Kazuaki Kiriya,Goemon,Last Knights,Casshern
nm0000425,6.9,3717,631939,César Charlone,The Pope's Toilet,Blindness,The Constant Gardener
nm0000428,7.0,3757,1134632,Guillermo Arriaga,21 Grams,Babel,The Three Burials of Melquiades Estrada
nm0000430,5.4,558,1674,Will Gluck,Easy A,Peter Rabbit,Friends with Benefits
nm0000431,6.8,76862,19215534,Branko Baletic,Lokalni vampir,Uvek spremne zene,Balkan ekspres
nm0000436,6.7,128771,28329830,Mia Hansen-Løve,All Is Forgiven,Things to Come,Father of My Children
nm0000438,6.9,42263,1352430,Justin Kurzel,Assassin's Creed,The Turning,Macbeth
nm0000450,6.4,7617,121872,Hideyuki Hirayama,The Laughing Frog,Out,Turn
nm0000454,6.4,26847,2765249,Fumihiko Sori,Pinpon,Titanic,Vexille
nm0000455,7.3,164134,28067052,Luc Besson,La Femme Nikita,Lucy,The Fifth Element
nm0000459,6.9,2348,25828,Rob Marshall,Mary Poppins Returns,Nine,Into the Woods
nm0000461,5.4,129,903,Vincent Riotta,Rush,Nine,Under the Tuscan Sun
nm0000463,5.2,1699,11893,Jim Sheridan,In the Name of the Father,The Boxer,In America
nm0000464,7.2,51315,10314393,J.D. Dillard,Judy Goose,Star Wars: Episode VII - The Force Awakens,Sleight
nm0000465,6.0,12,762,Susan Luciani,"10,000 BC",Star Wars: Episode VII - The Force Awakens,The Da Vinci Code
nm0000466,7.4,190717,33566266,Clint Eastwood,Gran Torino,Unforgiven,The Bridges of Madison County
nm0000473,5.1,9310,214133,Jack N. Green,Unforgiven,Serenity,The Bridges of Madison County
nm0000474,6.6,2643,29073,Saul Rubinek,True Romance,Unforgiven,The Family Man
nm0000484,6.7,71029,25996942,Karim Aïnouz,"I Travel Because I Have to, I Come Back Because I Love You",Futuro Beach,Madame Satã
nm0000485,7.2,12195,10036557,Karen Harley,"I Travel Because I Have to, I Come Back Because I Love You",Zama,Waste Land
nm0000487,7.4,159113,49165996,Andrew Levitas,The Art of Getting By,Lullaby,The White Crow
nm0000490,6.7,68897,19842514,Kresten Vestbjerg Andersen,Ronal the Barbarian,The Trouble with Terkel,Journey to Saturn
nm0000492,6.3,7804,101452,Thorbjørn Christoffersen,Checkered Ninja,Terkel in Trouble,Journey to Saturn
nm0000493,6.7,1162,18592,Clive Fleury,Fatal Past,Big City Blues,Tunnel Vision
nm0000498,6.5,3151,15755,Douglas McGrath,Bullets Over Broadway,Emma,Happiness
nm0000500,7.3,127893,43867557,Chazz Palminteri,Bullets Over Broadway,A Bronx Tale,The Usual Suspects
nm0000511,6.5,925,6475,Paul Bartel,Eating Raoul,Piranha,The Usual Suspects
nm0000517,7.0,81922,15155585,Morgan Spurlock,Mansome,The Greatest Movie Ever Sold,Léon: The Professional
nm0000518,7.0,6061,96976,Pascal Chaumeil,Heartbreaker,Un plan parfait,Léon: The Professional
nm0000519,7.0,18149,2867571,Stephen Chbosky,Beauty and the Beast,Wonder,The Perks of Being a Wallflower
nm0000520,6.9,129974,27944458,Francesco Bruni,Easy!,Tutto quello che vuoi,Human Capital
nm0000521,4.9,433,6940,Valeria Bruni Tedeschi,It's Easier for a Camel...,Like Crazy,Human Capital
nm0000524,6.4,6515,45605,Adam Wingard,You're Next,V/H/S,V/H/S/2
nm0000527,4.8,422,3376,Eduardo Sánchez,The Blair Witch Project,Book of Shadows: Blair Witch 2,V/H/S/2
nm0000540,5.6,3247,448114,Gareth Evans,The Raid 2,The Raid: Redemption,V/H/S/2
nm0000545,4.5,66,66,David Mackenzie,Hallam Foe,Starred Up,Hell or High Water
nm0000546,5.6,436,5240,Maggie Peren,Color of the Ocean,Before the Fall,Kiss and Run
nm0000551,5.0,8609,146353,David Bowers,Astro Boy,Diary of a Wimpy Kid: Rodrick Rules,Flushed Away
nm0000554,7.0,69,488,Frank Passingham,Coraline,Kubo and the Two Strings,Flushed Away
nm0000559,6.3,42315,4654726,Dick Clement,The Bank Job,The Commitments,Flushed Away
nm0000570,7.3,46905,11585577,Peter Lord,Chicken Run,The Curse of the Were-Rabbit,Flushed Away
nm0000576,6.9,175568,15625586,Simon Wells,The Prince of Egypt,The Time Machine,Flushed Away
nm0000577,6.2,114,1710,Ismaël Ferroukhi,Free Men,The Great Journey,Enfances
nm0000578,5.0,6958,173950,Makoto Kamiya,Gantz,Resident Evil: Damnation,Resident Evil: Degeneration
nm0000581,7.4,18367,7934887,Simon West,The Mechanic,The General's Daughter,Stolen
nm0000583,7.0,164095,44141629,Richard Wenk,The Mechanic,The Equalizer,The Expendables 2
nm0000586,5.2,1833,23829,Boaz Davidson,Lemon Popsicle,16 Blocks,The Expendables 2
nm0000591,7.3,105664,58961019,Antoine Fuqua,Olympus Has Fallen,The Equalizer,Training Day
nm0000600,6.9,246620,78671986,Ethan Hawke,Before Midnight,Before Sunset,Training Day
nm0000601,6.6,149939,37634773,Tony Goldwyn,The Mechanic,The Last Samurai,Ghost
nm0000602,6.9,37669,7684561,Jerry Zucker,My Best Friend's Wedding,Airplane!,Ghost
nm0000603,7.0,230,1150,Takashi Shimizu,Ju-on: The Grudge,The Grudge,The Grudge 2
nm0000608,5.9,3063,229793,Steven E. de Souza,Lara Croft Tomb Raider: The Cradle of Life,48 Hrs.,Die Hard
nm0000614,6.8,10589,434182,Hart Bochner,Breaking Away,Batman: Mask of the Phantasm,Die Hard
nm0000618,8.0,14,14,Joseph J. Lawson,40 Days and Nights,Age of Dinosaurs,Red Tails
nm0000619,7.4,8965,152405,Rudy Soedjarwo,9 Naga,Mengejar mas-mas,Mengejar matahari
nm0000626,7.0,5390,776280,Jasmila Zbanic,For Those Who Can Tell No Tales,Love Island,Grbavica: The Land of My Dreams
nm0000630,7.5,54646,1092920,Chi-Yuarn Lee,Taipei 24H,Beautiful Crazy,Chocolate Rap
nm0000631,7.1,308180,217575591,Seung-wan Ryoo,Veteran,Arahan,The Berlin File
nm0000634,5.8,1130,27132,Tizuka Yamasaki,Beloved Country Brazil,Gaijin - Ama-me Como Sou,"Gaijin, a Brazilian Odyssey"
nm0000635,4.9,3861,119693,Peter Chelsom,The Space Between Us,Hector and the Search for Happiness,Serendipity
nm0000638,3.5,1086,8688,Frank Miller,Sin City: A Dame to Kill For,The Spirit,Sin City
nm0000641,5.7,1196,19136,Samuel A. Taylor,The Eddy Duchin Story,Sabrina,Sabrina
nm0000647,4.7,1403,241337,J.C. Chandor,All Is Lost,Margin Call,A Most Violent Year
nm0000649,5.0,54,54,Chris Terrio,Heights,Batman v Superman: Dawn of Justice,Argo
nm0000654,3.4,7,7,Stephen Fry,Wilde,The Hitchhiker's Guide to the Galaxy,V for Vendetta
nm0000655,6.2,683,2050,Jing Wong,Wo Hu: Operation Undercover,Colour of the Loyalty,The Man from Macau
nm0000659,6.7,11234,213446,Pavel Ruminov,Deadline,I'll Be Around,Dizlayk
nm0000667,6.2,189,378,Justin Price,Alien Reign of Man,The Dawnseeker,Almost Amazing
nm0000670,5.6,598,598,Naoko Ogigami,Glasses,Yoshino's Barber Shop,Rent-a-Cat
nm0000671,5.9,7377,361511,Paulette Victor-Lifton,Superman Returns,In the Valley of Elah,Surrogates
nm0000680,4.4,757,10610,Jim Wynorski,Final Voyage,Crash Landing,Fire from Below
nm0000682,7.0,78473,20481548,Pierre Chevalier,La maison des filles perdues,The Panther Squad,Human Cargo
nm0000691,6.5,14445,1603496,Robert Rodriguez,Sin City: A Dame to Kill For,Spy Kids 2: Island of Lost Dreams,El Mariachi
nm0000694,6.9,13023,5990743,David R. Ellis,Snakes on a Plane,Deep Blue Sea,The Matrix Reloaded
nm0000697,7.7,55648,35782264,Alla Surikova,Khochu v tyurmu,E=mc²,Moskovskie kanikuly
nm0000698,5.9,6000,546078,Sigval Maartmann-Moe,Savnet siden mandag,Dei svarte hestane,It Happened One Night
nm0000708,7.4,51,51,Granz Henman,More Ants in the Pants,Der Eisbär,Devil's Kickers
nm0000709,7.3,325598,167357786,Gore Verbinski,A Cure for Wellness,The Lone Ranger,Pirates of the Caribbean: The Curse of the Black Pearl
nm0000725,6.2,2469,17283,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: The Curse of the Black Pearl
nm0000727,6.7,4347,256521,Mark Helfrich,Jumanji: Welcome to the Jungle,Predator,X-Men: The Last Stand
nm0000729,6.8,11842,165790,Mark Palansky,The Island,Armageddon,Penelope
nm0000736,6.9,10324,6277501,Justin Theroux,Mulholland Dr.,The Girl on the Train,American Psycho
nm0000741,5.6,5253,63036,Kathryn Bigelow,Zero Dark Thirty,The Hurt Locker,Strange Days
nm0000743,8.0,87,174,Todd Graff,The Abyss,Camp,Strange Days
nm0000750,6.2,54055,6000183,Jason Friedberg,Vampires Suck,Disaster Movie,Meet the Spartans
nm0000755,7.4,6803,666781,Aaron Seltzer,Disaster Movie,Meet the Spartans,Epic Movie
nm0000759,7.5,186635,39753449,Tom McCarthy,The Visitor,The Station Agent,Spotlight
nm0000766,7.6,3225,490290,Egor Konchalovskiy,Pobeg,Antikiller,Zatvornik
nm0000774,7.4,12359,3905538,Eleonora Giorgi,Borotalco,Dog's Heart,"Love, Lies, Kids... & Dogs"
nm0000777,6.4,23462,1947346,Enrico Oldoini,Borotalco,Vacanze di Natale '90,I Love You
nm0000778,5.1,1827,45695,John Gatins,Power Rangers,Norbit,Real Steel
nm0000780,7.1,8778,1027043,Adam Yauch,Star Trek,Star Trek Beyond,Real Steel
nm0000782,6.2,2989,104646,Colin Minihan,What Keeps You Alive,It Stains the Sands Red,Grave Encounters
nm0000783,6.3,16086,4922509,Tomas Alfredson,The Snowman,Tinker Tailor Soldier Spy,Four Shades of Brown
nm0000786,6.0,34793,2261553,Steve Kloves,The Fabulous Baker Boys,Harry Potter and the Deathly Hallows: Part 2,Wonder Boys
nm0000788,6.7,14158,1897280,Russell Crowe,Les Misérables,L.A. Confidential,Gladiator
nm0000789,7.2,12,12,Brian W. Cook,Eyes Wide Shut,The Pledge,Gladiator
nm0000791,6.4,4911,1861512,David Hemmings,Blow-Up,Deep Red,Gladiator
nm0000797,6.9,21556,4375927,Kevin Spacey,The Usual Suspects,L.A. Confidential,Se7en
nm0000806,7.0,12073,2559593,Ted Nicolaou,TerrorVision,Savage Island,The Texas Chainsaw Massacre
nm0000808,6.4,5962,256396,Josh Evans,Born on the Fourth of July,The Price of Air,The Doors
nm0000809,6.3,1805,57776,Adam Rifkin,Look,Chillerama,The Last Movie Star
nm0000814,6.2,80926,21121764,Tim Sullivan,Scrooged,Chillerama,2001 Maniacs
nm0000816,6.2,47939,4889780,Bob Clark,Porky's,Baby Geniuses,A Christmas Story
nm0000817,6.6,60,121,William Girdler,"'Sheba, Baby'",Abby,The Get-Man
nm0000824,6.5,29317,7681221,Alfredo B. Crevenna,Orquídeas para mi esposa,Mi esposa y la otra,Una mujer en la calle
nm0000829,6.5,78408,4077260,Karan Malhotra,Agneepath,Jodhaa Akbar,I'm Always Here
nm0000835,6.4,14994,1424453,Bruce Hendricks,Pirates of the Caribbean: The Curse of the Black Pearl,Pearl Harbor,Pirates of the Caribbean: At World's End
nm0000837,6.1,3164,91780,Eric Brevig,Total Recall,Pearl Harbor,Men in Black
nm0000841,5.4,2262,22622,Bo Welch,A Little Princess,Edward Scissorhands,Men in Black
nm0000843,6.3,1636,9816,Scott Wiper,The Cold Light of Day,Pearl Harbor,A Better Way to Die
nm0000850,7.0,90998,2274950,Peter Ramsey,The Core,Rise of the Guardians,Minority Report
nm0000852,5.6,1325,56983,Fred Dekker,Night of the Creeps,The Monster Squad,RoboCop 3
nm0000853,6.4,6442,863284,David J. Negron Jr.,G.I. Joe: The Rise of Cobra,The Saint,Battleship
nm0000859,6.6,296,19580,Deborah Scranton,Earth Made of Glass,The War Tapes,War Dog: A Soldier's Best Friend
nm0000860,6.0,8009,680785,Juan Pablo Buscarini,Un hijo genial,El ratón Pérez,"Cóndor Crux, la leyenda"
nm0000870,4.6,15,15,Goran Markovic,The Meeting Point,Tito and Me,Reflections
nm0000876,6.7,36103,4621234,Phil Grabsky,The Boy Mir,In Search of Mozart,The Boy Who Plays on the Buddhas of Bamiyan
nm0000877,5.4,5075,593873,Orson Cummings,Blood in the Water,Nine Out of Ten,Killer Bees
nm0000878,6.1,3441,1431842,Ben Cummings,Killer Bees,If I Didn't Care,Blood in the Water
nm0000881,6.4,281634,104767946,Valdís Óskarsdóttir,The Celebration,Eternal Sunshine of the Spotless Mind,King's Road
nm0000886,6.7,16730,1238039,Charlie Kaufman,Being John Malkovich,Eternal Sunshine of the Spotless Mind,"Synecdoche, New York"
nm0000887,6.3,19482,3740640,Trish Adlesic,The Insider,As Good as It Gets,I Am Evidence
nm0000894,6.8,7663,521100,Jennifer M. Kroot,To Be Takei,It Came from Kuchar,The Untold Tales of Armistead Maupin
nm0000905,7.3,174212,20731228,Friedrich Moser,A Good American,The Maze,The Brussels Business
nm0000907,5.8,15025,2674623,Richard Linklater,Before Midnight,A Scanner Darkly,Boyhood
nm0000914,6.8,26719,5798208,Steven Chester Prince,A Walk Among the Tombstones,A Scanner Darkly,Boyhood
nm0000915,6.4,12129,3432566,Leigh Whannell,Saw,Upgrade,Insidious: Chapter 3
nm0000916,6.8,145838,39376344,Jon Watts,Cop Car,Natural Selection,Spider-Man: Homecoming
nm0000921,5.8,16656,932752,Mike Tristano,Saw,The Purge,Harsh Times
nm0000923,6.8,1564,475687,Philippe Martinez,Wake of Death,General Commander,Harsh Times
nm0000925,6.0,71,213,James Wan,Saw,The Conjuring,Furious 7
nm0000934,7.1,27475,8132764,Jack Gill,The Fate of the Furious,Fast Five,Furious 7
nm0000940,6.1,1762,170939,Benedikt Erlingsson,The Show of Shows,Of Horses and Men,Woman at War
nm0000941,7.0,158009,23385397,Andrew Hulme,Snow in Paradise,Wicker Park,Lucky Number Slevin
nm0000944,6.9,17255,983548,Paul McGuigan,The Acid House,Wicker Park,Lucky Number Slevin
nm0000945,5.5,109,545,Andreas Dresen,Cloud 9,Grill Point,Night Shapes
nm0000948,6.9,321942,37345387,Wojciech Smarzowski,The Wedding,The Dark House,Hatred
nm0000952,6.2,7372,147455,António-Pedro Vasconcelos,Jaime,Cats Don't Have Vertigo,Os Imortais
nm0000953,6.7,14099,3891439,Chang-dong Lee,Burning,Secret Sunshine,Green Fish
